Umur,Pendapatan Bulanan (ribu Rupiah),Jarak Tempuh Harian (km),Status Pekerjaan,Preferensi Harga,Preferensi Kecepatan,Preferensi Kapasitas,Ketersediaan Pajak,Ketersediaan Parkir,Ketersediaan Bahan Bakar,Ketersediaan Teknologi,Ketersediaan Perawatan,Ketersediaan Asuransi,Ketersediaan Warna,Ketersediaan Fitur Keselamatan,Ketersediaan Fitur Hiburan,Ketersediaan Aksesori,Ketersediaan Ruang Penumpang,Ketersediaan Ruang Bagasi,Jenis Kendaraan Dipilih
50,4830,23,Pegawai Negeri,Murah,Sedang,Sedang,Ya,Baik,Bensin,Tinggi,Cukup,Tidak,Beragam,Cukup,Kurang,Cukup,Cukup,Luas,Mobil Listrik
27,28372,10,Pelajar/Mahasiswa,Mahal,Lambat,Kecil,Ya,Baik,Gas,Rendah,Kurang,Ya,Beragam,Lengkap,Kurang,Lengkap,Sempit,Sempit,Mobil Listrik
18,3166,15,Pelajar/Mahasiswa,Mahal,Sedang,Kecil,Ya,Cukup,Bensin,Sedang,Baik,Tidak,Terbatas,Cukup,Kurang,Kurang,Sempit,Cukup,Sepeda Motor
57,4109,21,Wiraswasta,Mahal,Lambat,Besar,Tidak,Cukup,Solar,Tinggi,Baik,Tidak,Terbatas,Cukup,Kurang,Cukup,Sempit,Cukup,Mobil Listrik
61,15487,84,Pensiunan,Sedang,Sedang,Sedang,Ya,Cukup,Solar,Tinggi,Baik,Ya,Beragam,Lengkap,Kurang,Lengkap,Luas,Luas,Mobil
28,9961,14,Wiraswasta,Mahal,Cepat,Kecil,Tidak,Cukup,Bensin,Rendah,Kurang,Tidak,Beragam,Kurang,Cukup,Kurang,Cukup,Cukup,Sepeda Motor
25,19332,66,Pensiunan,Murah,Sedang,Kecil,Ya,Baik,Gas,Sedang,Kurang,Ya,Terbatas,Kurang,Kurang,Lengkap,Cukup,Luas,Mobil
23,29804,66,Pegawai Negeri,Mahal,Cepat,Besar,Ya,Cukup,Solar,Sedang,Kurang,Ya,Terbatas,Lengkap,Lengkap,Lengkap,Cukup,Cukup,Mobil
31,13502,9,Tidak Bekerja,Sedang,Cepat,Kecil,Ya,Kurang,Gas,Rendah,Cukup,Ya,Terbatas,Kurang,Lengkap,Cukup,Sempit,Cukup,Mobil Listrik
25,15436,13,Pelajar/Mahasiswa,Sedang,Lambat,Kecil,Tidak,Baik,Gas,Tinggi,Baik,Tidak,Beragam,Kurang,Kurang,Kurang,Cukup,Luas,Mobil
25,3474,59,Tidak Bekerja,Murah,Sedang,Sedang,Tidak,Cukup,Listrik,Sedang,Baik,Tidak,Beragam,Lengkap,Kurang,Cukup,Luas,Cukup,Mobil
44,23781,13,Pegawai Negeri,Sedang,Sedang,Kecil,Tidak,Cukup,Bensin,Tinggi,Baik,Ya,Beragam,Kurang,Kurang,Cukup,Luas,Luas,Mobil
27,10956,60,Pegawai Negeri,Sedang,Sedang,Sedang,Ya,Cukup,Bensin,Rendah,Kurang,Tidak,Beragam,Kurang,Cukup,Kurang,Cukup,Sempit,Mobil
31,4044,21,Pensiunan,Mahal,Cepat,Sedang,Ya,Kurang,Listrik,Rendah,Baik,Tidak,Beragam,Cukup,Cukup,Lengkap,Luas,Sempit,Mobil Listrik
58,24513,9,Pelajar/Mahasiswa,Murah,Cepat,Kecil,Ya,Kurang,Gas,Tinggi,Cukup,Tidak,Beragam,Kurang,Kurang,Lengkap,Sempit,Cukup,Mobil
49,5330,63,Pelajar/Mahasiswa,Sedang,Sedang,Besar,Tidak,Kurang,Bensin,Rendah,Baik,Ya,Terbatas,Lengkap,Kurang,Lengkap,Cukup,Sempit,Sepeda
20,2010,41,Pensiunan,Mahal,Lambat,Kecil,Tidak,Baik,Listrik,Rendah,Baik,Tidak,Terbatas,Lengkap,Kurang,Kurang,Cukup,Cukup,Mobil Listrik
63,16668,23,Wiraswasta,Murah,Cepat,Kecil,Tidak,Cukup,Listrik,Rendah,Kurang,Ya,Beragam,Kurang,Kurang,Lengkap,Luas,Sempit,Mobil
20,26571,75,Pegawai Negeri,Mahal,Cepat,Kecil,Ya,Cukup,Gas,Sedang,Baik,Tidak,Terbatas,Lengkap,Lengkap,Kurang,Sempit,Sempit,Mobil
44,19491,30,Pegawai Negeri,Mahal,Lambat,Besar,Ya,Kurang,Bensin,Rendah,Kurang,Ya,Terbatas,Lengkap,Lengkap,Kurang,Luas,Sempit,Mobil
32,17378,13,Wiraswasta,Mahal,Cepat,Besar,Tidak,Baik,Listrik,Tinggi,Kurang,Tidak,Beragam,Lengkap,Cukup,Kurang,Cukup,Luas,Mobil Listrik
23,10419,42,Wiraswasta,Sedang,Cepat,Sedang,Tidak,Kurang,Bensin,Rendah,Kurang,Ya,Beragam,Lengkap,Kurang,Lengkap,Cukup,Cukup,Mobil
58,9055,64,Tidak Bekerja,Mahal,Sedang,Sedang,Ya,Cukup,Gas,Tinggi,Cukup,Ya,Beragam,Lengkap,Cukup,Lengkap,Cukup,Cukup,Mobil
34,5143,78,Pensiunan,Mahal,Cepat,Kecil,Ya,Kurang,Bensin,Rendah,Kurang,Ya,Beragam,Kurang,Kurang,Lengkap,Luas,Luas,Mobil Listrik
54,14826,67,Tidak Bekerja,Sedang,Cepat,Besar,Ya,Cukup,Solar,Rendah,Baik,Tidak,Beragam,Cukup,Kurang,Cukup,Luas,Luas,Mobil Listrik
33,7693,60,Wiraswasta,Sedang,Lambat,Kecil,Ya,Cukup,Bensin,Sedang,Baik,Tidak,Terbatas,Cukup,Lengkap,Cukup,Cukup,Cukup,Mobil Listrik
50,8707,59,Wiraswasta,Mahal,Sedang,Besar,Tidak,Baik,Gas,Rendah,Kurang,Ya,Beragam,Lengkap,Kurang,Lengkap,Luas,Sempit,Mobil
58,11780,40,Pelajar/Mahasiswa,Mahal,Cepat,Sedang,Tidak,Cukup,Listrik,Sedang,Kurang,Ya,Beragam,Lengkap,Lengkap,Lengkap,Sempit,Luas,Mobil Listrik
31,18337,10,Pelajar/Mahasiswa,Sedang,Sedang,Sedang,Tidak,Baik,Bensin,Tinggi,Baik,Ya,Terbatas,Lengkap,Kurang,Cukup,Luas,Luas,Sepeda Motor
67,5953,41,Tidak Bekerja,Mahal,Sedang,Besar,Tidak,Baik,Solar,Tinggi,Baik,Ya,Terbatas,Cukup,Kurang,Cukup,Luas,Luas,Mobil
62,11369,48,Pegawai Negeri,Mahal,Sedang,Besar,Tidak,Baik,Solar,Tinggi,Kurang,Ya,Terbatas,Lengkap,Cukup,Lengkap,Sempit,Luas,Mobil
19,29668,81,Wiraswasta,Murah,Lambat,Besar,Tidak,Cukup,Gas,Tinggi,Kurang,Tidak,Terbatas,Cukup,Kurang,Lengkap,Sempit,Sempit,Sepeda Motor
46,8534,57,Pelajar/Mahasiswa,Murah,Sedang,Kecil,Ya,Baik,Listrik,Sedang,Cukup,Tidak,Terbatas,Kurang,Kurang,Kurang,Luas,Cukup,Mobil Listrik
36,10774,75,Tidak Bekerja,Murah,Cepat,Kecil,Tidak,Baik,Bensin,Rendah,Cukup,Ya,Terbatas,Lengkap,Cukup,Kurang,Luas,Luas,Mobil
44,21260,92,Wiraswasta,Mahal,Cepat,Besar,Ya,Baik,Bensin,Sedang,Kurang,Tidak,Terbatas,Lengkap,Kurang,Cukup,Sempit,Cukup,Sepeda
67,20416,69,Pelajar/Mahasiswa,Sedang,Lambat,Sedang,Tidak,Cukup,Solar,Rendah,Cukup,Tidak,Beragam,Lengkap,Cukup,Kurang,Cukup,Cukup,Sepeda
26,19302,27,Pelajar/Mahasiswa,Murah,Cepat,Sedang,Ya,Baik,Solar,Rendah,Cukup,Tidak,Terbatas,Lengkap,Lengkap,Cukup,Luas,Sempit,Mobil Listrik
66,17662,88,Pegawai Negeri,Murah,Cepat,Besar,Tidak,Kurang,Gas,Rendah,Baik,Tidak,Beragam,Lengkap,Kurang,Lengkap,Luas,Luas,Sepeda
33,26569,64,Pelajar/Mahasiswa,Mahal,Sedang,Kecil,Ya,Baik,Gas,Tinggi,Baik,Ya,Terbatas,Kurang,Kurang,Kurang,Sempit,Cukup,Mobil
66,9027,78,Pensiunan,Sedang,Lambat,Sedang,Ya,Cukup,Bensin,Rendah,Kurang,Ya,Terbatas,Lengkap,Kurang,Cukup,Cukup,Luas,Mobil
27,6682,85,Pelajar/Mahasiswa,Murah,Cepat,Besar,Tidak,Cukup,Solar,Tinggi,Kurang,Tidak,Terbatas,Lengkap,Lengkap,Lengkap,Cukup,Sempit,Sepeda
54,11510,22,Pegawai Negeri,Mahal,Lambat,Kecil,Ya,Baik,Gas,Rendah,Baik,Tidak,Beragam,Cukup,Kurang,Kurang,Sempit,Luas,Sepeda
32,11984,61,Wiraswasta,Mahal,Cepat,Sedang,Tidak,Kurang,Solar,Sedang,Baik,Ya,Beragam,Cukup,Kurang,Lengkap,Luas,Luas,Mobil
45,2794,19,Tidak Bekerja,Mahal,Lambat,Kecil,Tidak,Baik,Solar,Tinggi,Cukup,Ya,Terbatas,Kurang,Kurang,Kurang,Cukup,Cukup,Mobil Listrik
65,6927,65,Pensiunan,Sedang,Cepat,Besar,Ya,Cukup,Gas,Sedang,Kurang,Ya,Terbatas,Kurang,Cukup,Kurang,Cukup,Luas,Mobil
35,18061,51,Pensiunan,Murah,Cepat,Sedang,Tidak,Cukup,Bensin,Tinggi,Kurang,Tidak,Beragam,Lengkap,Lengkap,Lengkap,Sempit,Cukup,Mobil Listrik
33,29306,79,Pensiunan,Murah,Lambat,Besar,Ya,Baik,Solar,Tinggi,Baik,Ya,Terbatas,Kurang,Kurang,Lengkap,Cukup,Cukup,Sepeda
41,8536,93,Tidak Bekerja,Murah,Cepat,Sedang,Ya,Cukup,Listrik,Sedang,Cukup,Tidak,Beragam,Kurang,Cukup,Kurang,Sempit,Luas,Sepeda
25,23636,41,Pensiunan,Murah,Sedang,Besar,Ya,Cukup,Listrik,Sedang,Kurang,Tidak,Terbatas,Cukup,Cukup,Lengkap,Sempit,Luas,Sepeda
23,28393,48,Pelajar/Mahasiswa,Mahal,Cepat,Besar,Ya,Cukup,Solar,Sedang,Baik,Tidak,Terbatas,Lengkap,Cukup,Kurang,Cukup,Cukup,Sepeda
67,3613,13,Tidak Bekerja,Sedang,Sedang,Kecil,Ya,Baik,Solar,Sedang,Kurang,Tidak,Terbatas,Kurang,Kurang,Cukup,Cukup,Cukup,Sepeda Motor
62,16464,20,Pensiunan,Mahal,Cepat,Besar,Ya,Cukup,Solar,Sedang,Baik,Tidak,Terbatas,Kurang,Kurang,Kurang,Sempit,Sempit,Sepeda Motor
41,18839,83,Pegawai Negeri,Murah,Sedang,Kecil,Ya,Cukup,Solar,Tinggi,Baik,Tidak,Terbatas,Lengkap,Lengkap,Kurang,Sempit,Cukup,Mobil Listrik
41,10470,30,Pegawai Negeri,Murah,Cepat,Kecil,Ya,Kurang,Solar,Tinggi,Cukup,Tidak,Terbatas,Lengkap,Kurang,Kurang,Sempit,Sempit,Sepeda
64,22953,46,Pelajar/Mahasiswa,Murah,Lambat,Kecil,Ya,Cukup,Listrik,Rendah,Baik,Ya,Terbatas,Kurang,Cukup,Lengkap,Sempit,Luas,Sepeda
24,3014,12,Tidak Bekerja,Murah,Cepat,Sedang,Tidak,Kurang,Gas,Sedang,Baik,Tidak,Beragam,Kurang,Kurang,Lengkap,Luas,Cukup,Mobil
24,20654,95,Wiraswasta,Sedang,Cepat,Besar,Tidak,Cukup,Gas,Tinggi,Baik,Ya,Beragam,Kurang,Kurang,Kurang,Luas,Luas,Sepeda
38,3853,66,Tidak Bekerja,Sedang,Lambat,Besar,Ya,Baik,Listrik,Sedang,Baik,Tidak,Beragam,Kurang,Lengkap,Lengkap,Sempit,Sempit,Mobil
40,28388,34,Pegawai Negeri,Murah,Lambat,Besar,Tidak,Baik,Gas,Rendah,Kurang,Ya,Beragam,Cukup,Cukup,Lengkap,Cukup,Cukup,Sepeda Motor
34,24065,43,Pelajar/Mahasiswa,Murah,Cepat,Besar,Ya,Kurang,Bensin,Tinggi,Baik,Tidak,Terbatas,Lengkap,Cukup,Kurang,Cukup,Cukup,Mobil
27,2141,27,Pelajar/Mahasiswa,Mahal,Sedang,Besar,Tidak,Baik,Listrik,Tinggi,Baik,Ya,Beragam,Lengkap,Cukup,Lengkap,Sempit,Cukup,Mobil Listrik
18,13993,37,Wiraswasta,Mahal,Cepat,Kecil,Tidak,Cukup,Solar,Tinggi,Kurang,Ya,Terbatas,Cukup,Cukup,Lengkap,Luas,Luas,Sepeda
34,9116,66,Pelajar/Mahasiswa,Sedang,Cepat,Besar,Tidak,Cukup,Solar,Rendah,Kurang,Tidak,Terbatas,Cukup,Cukup,Lengkap,Luas,Luas,Mobil
65,5064,67,Wiraswasta,Sedang,Sedang,Sedang,Ya,Kurang,Solar,Sedang,Kurang,Tidak,Terbatas,Kurang,Kurang,Kurang,Luas,Luas,Mobil
65,26651,80,Pegawai Negeri,Mahal,Lambat,Besar,Tidak,Baik,Bensin,Rendah,Kurang,Tidak,Terbatas,Cukup,Lengkap,Lengkap,Luas,Cukup,Mobil Listrik
47,19577,76,Pegawai Negeri,Murah,Sedang,Sedang,Tidak,Kurang,Solar,Tinggi,Cukup,Ya,Beragam,Cukup,Lengkap,Lengkap,Luas,Sempit,Sepeda
53,25974,74,Pelajar/Mahasiswa,Murah,Lambat,Besar,Tidak,Cukup,Solar,Sedang,Kurang,Ya,Terbatas,Lengkap,Cukup,Kurang,Luas,Luas,Mobil Listrik
29,27384,53,Pegawai Negeri,Murah,Cepat,Sedang,Tidak,Baik,Gas,Tinggi,Kurang,Tidak,Beragam,Lengkap,Cukup,Lengkap,Sempit,Sempit,Sepeda Motor
42,8886,38,Wiraswasta,Murah,Lambat,Sedang,Tidak,Kurang,Gas,Tinggi,Cukup,Tidak,Terbatas,Cukup,Kurang,Kurang,Luas,Luas,Mobil
19,21864,65,Wiraswasta,Mahal,Lambat,Sedang,Ya,Cukup,Solar,Rendah,Baik,Ya,Beragam,Cukup,Cukup,Kurang,Sempit,Cukup,Mobil
39,21285,8,Pelajar/Mahasiswa,Mahal,Cepat,Kecil,Ya,Kurang,Bensin,Sedang,Baik,Ya,Beragam,Lengkap,Kurang,Cukup,Cukup,Sempit,Sepeda Motor
53,14416,12,Tidak Bekerja,Sedang,Sedang,Kecil,Tidak,Kurang,Solar,Rendah,Kurang,Tidak,Terbatas,Kurang,Cukup,Cukup,Cukup,Cukup,Sepeda
18,27599,42,Pelajar/Mahasiswa,Murah,Lambat,Besar,Ya,Kurang,Listrik,Rendah,Baik,Ya,Terbatas,Kurang,Cukup,Cukup,Sempit,Sempit,Sepeda Motor
32,27788,81,Tidak Bekerja,Sedang,Cepat,Kecil,Tidak,Kurang,Listrik,Sedang,Cukup,Tidak,Beragam,Kurang,Cukup,Cukup,Cukup,Luas,Mobil
67,16038,92,Wiraswasta,Mahal,Sedang,Sedang,Tidak,Kurang,Bensin,Sedang,Cukup,Ya,Terbatas,Kurang,Lengkap,Cukup,Sempit,Cukup,Sepeda
26,7711,84,Wiraswasta,Murah,Lambat,Sedang,Ya,Cukup,Solar,Tinggi,Kurang,Ya,Beragam,Cukup,Kurang,Cukup,Cukup,Cukup,Sepeda
63,3626,43,Pensiunan,Sedang,Cepat,Besar,Ya,Baik,Bensin,Sedang,Kurang,Tidak,Terbatas,Kurang,Lengkap,Kurang,Luas,Sempit,Sepeda
41,14213,79,Pensiunan,Murah,Cepat,Besar,Ya,Cukup,Bensin,Sedang,Baik,Ya,Beragam,Lengkap,Cukup,Cukup,Cukup,Sempit,Mobil Listrik
53,16244,16,Pensiunan,Murah,Sedang,Sedang,Ya,Kurang,Listrik,Tinggi,Kurang,Tidak,Beragam,Cukup,Kurang,Lengkap,Cukup,Sempit,Mobil
61,24396,21,Pensiunan,Mahal,Cepat,Kecil,Ya,Cukup,Gas,Rendah,Baik,Tidak,Terbatas,Lengkap,Lengkap,Lengkap,Sempit,Sempit,Sepeda Motor
25,20032,97,Pensiunan,Sedang,Lambat,Besar,Tidak,Kurang,Bensin,Rendah,Baik,Ya,Beragam,Cukup,Lengkap,Kurang,Luas,Sempit,Mobil
38,23314,44,Tidak Bekerja,Sedang,Lambat,Kecil,Ya,Kurang,Bensin,Rendah,Kurang,Tidak,Terbatas,Cukup,Kurang,Cukup,Luas,Luas,Mobil
42,12007,86,Pensiunan,Murah,Cepat,Sedang,Tidak,Cukup,Solar,Tinggi,Kurang,Ya,Beragam,Lengkap,Kurang,Kurang,Luas,Cukup,Sepeda Motor
46,17111,15,Pegawai Negeri,Murah,Cepat,Besar,Ya,Cukup,Solar,Rendah,Cukup,Ya,Terbatas,Lengkap,Kurang,Kurang,Sempit,Cukup,Sepeda
50,7426,40,Tidak Bekerja,Mahal,Lambat,Sedang,Tidak,Baik,Bensin,Tinggi,Baik,Tidak,Terbatas,Lengkap,Cukup,Lengkap,Sempit,Sempit,Sepeda Motor
55,23300,14,Pelajar/Mahasiswa,Sedang,Lambat,Sedang,Ya,Cukup,Bensin,Sedang,Baik,Tidak,Beragam,Kurang,Lengkap,Kurang,Luas,Luas,Mobil
69,17866,78,Wiraswasta,Mahal,Lambat,Besar,Ya,Kurang,Gas,Sedang,Kurang,Tidak,Beragam,Lengkap,Kurang,Cukup,Sempit,Sempit,Mobil
59,8363,43,Pegawai Negeri,Sedang,Lambat,Besar,Ya,Kurang,Bensin,Tinggi,Kurang,Tidak,Beragam,Cukup,Kurang,Kurang,Sempit,Luas,Sepeda
26,3276,33,Pensiunan,Sedang,Lambat,Kecil,Tidak,Kurang,Gas,Tinggi,Baik,Tidak,Terbatas,Lengkap,Kurang,Lengkap,Sempit,Cukup,Mobil
56,3846,76,Pegawai Negeri,Mahal,Cepat,Besar,Tidak,Cukup,Gas,Rendah,Cukup,Ya,Beragam,Lengkap,Cukup,Cukup,Luas,Sempit,Sepeda
35,17417,14,Pelajar/Mahasiswa,Murah,Lambat,Sedang,Tidak,Cukup,Gas,Tinggi,Kurang,Tidak,Terbatas,Lengkap,Cukup,Kurang,Luas,Sempit,Sepeda
56,11954,62,Wiraswasta,Mahal,Lambat,Besar,Ya,Cukup,Listrik,Tinggi,Cukup,Tidak,Beragam,Lengkap,Cukup,Kurang,Luas,Sempit,Mobil Listrik
29,9501,68,Pensiunan,Murah,Cepat,Sedang,Ya,Kurang,Solar,Sedang,Baik,Ya,Beragam,Cukup,Kurang,Kurang,Sempit,Cukup,Mobil Listrik
21,12399,85,Tidak Bekerja,Mahal,Sedang,Besar,Tidak,Baik,Gas,Sedang,Cukup,Tidak,Beragam,Cukup,Lengkap,Kurang,Luas,Sempit,Sepeda Motor
53,19772,59,Pensiunan,Mahal,Cepat,Sedang,Ya,Baik,Bensin,Rendah,Baik,Tidak,Terbatas,Cukup,Kurang,Cukup,Sempit,Sempit,Mobil Listrik
41,12801,74,Pegawai Negeri,Murah,Sedang,Sedang,Ya,Kurang,Bensin,Sedang,Kurang,Tidak,Beragam,Kurang,Lengkap,Kurang,Cukup,Luas,Sepeda Motor
64,16886,39,Pensiunan,Sedang,Lambat,Kecil,Ya,Baik,Gas,Sedang,Kurang,Tidak,Terbatas,Kurang,Lengkap,Kurang,Cukup,Sempit,Mobil
49,18017,81,Pegawai Negeri,Murah,Cepat,Sedang,Ya,Cukup,Gas,Tinggi,Kurang,Ya,Beragam,Kurang,Lengkap,Lengkap,Luas,Sempit,Mobil
38,2265,70,Pegawai Negeri,Mahal,Cepat,Sedang,Ya,Kurang,Solar,Sedang,Cukup,Ya,Beragam,Lengkap,Cukup,Lengkap,Luas,Cukup,Mobil
68,5926,58,Pelajar/Mahasiswa,Mahal,Sedang,Besar,Ya,Cukup,Solar,Sedang,Cukup,Ya,Terbatas,Lengkap,Cukup,Cukup,Luas,Sempit,Mobil
61,8457,25,Pelajar/Mahasiswa,Mahal,Cepat,Besar,Ya,Baik,Gas,Tinggi,Baik,Tidak,Beragam,Kurang,Kurang,Lengkap,Sempit,Cukup,Mobil
18,14319,31,Pegawai Negeri,Murah,Sedang,Kecil,Ya,Kurang,Solar,Rendah,Cukup,Ya,Terbatas,Cukup,Cukup,Kurang,Cukup,Sempit,Mobil Listrik
47,27881,90,Pensiunan,Sedang,Sedang,Sedang,Tidak,Kurang,Solar,Tinggi,Cukup,Ya,Beragam,Kurang,Kurang,Cukup,Cukup,Sempit,Sepeda Motor
48,8059,80,Pelajar/Mahasiswa,Murah,Cepat,Kecil,Ya,Kurang,Solar,Tinggi,Kurang,Tidak,Terbatas,Kurang,Cukup,Cukup,Sempit,Cukup,Mobil
38,7986,92,Tidak Bekerja,Murah,Sedang,Kecil,Ya,Cukup,Listrik,Sedang,Baik,Tidak,Beragam,Cukup,Cukup,Cukup,Luas,Cukup,Mobil Listrik
49,15036,91,Pelajar/Mahasiswa,Sedang,Sedang,Besar,Tidak,Baik,Solar,Rendah,Cukup,Ya,Beragam,Cukup,Lengkap,Cukup,Cukup,Luas,Sepeda Motor
66,29405,66,Pensiunan,Murah,Sedang,Sedang,Tidak,Baik,Gas,Rendah,Baik,Ya,Terbatas,Kurang,Lengkap,Kurang,Cukup,Luas,Sepeda Motor
46,24396,39,Pegawai Negeri,Murah,Sedang,Kecil,Ya,Cukup,Bensin,Sedang,Cukup,Tidak,Beragam,Kurang,Lengkap,Kurang,Sempit,Cukup,Mobil
20,10480,32,Tidak Bekerja,Mahal,Cepat,Kecil,Ya,Kurang,Bensin,Tinggi,Kurang,Ya,Beragam,Cukup,Cukup,Cukup,Luas,Cukup,Sepeda
35,10536,16,Pegawai Negeri,Murah,Sedang,Kecil,Ya,Cukup,Bensin,Tinggi,Baik,Ya,Terbatas,Lengkap,Kurang,Lengkap,Cukup,Cukup,Sepeda
36,8577,32,Tidak Bekerja,Murah,Cepat,Besar,Ya,Cukup,Gas,Rendah,Cukup,Tidak,Terbatas,Lengkap,Lengkap,Lengkap,Luas,Cukup,Sepeda
48,15716,87,Tidak Bekerja,Mahal,Cepat,Sedang,Ya,Kurang,Bensin,Rendah,Baik,Tidak,Beragam,Kurang,Cukup,Cukup,Luas,Cukup,Mobil Listrik
47,28941,26,Pensiunan,Sedang,Lambat,Besar,Ya,Cukup,Bensin,Sedang,Baik,Ya,Beragam,Kurang,Cukup,Lengkap,Sempit,Cukup,Mobil
24,12413,77,Pelajar/Mahasiswa,Sedang,Sedang,Sedang,Tidak,Cukup,Gas,Rendah,Baik,Tidak,Terbatas,Kurang,Cukup,Cukup,Luas,Cukup,Mobil
68,6162,98,Wiraswasta,Murah,Sedang,Besar,Ya,Kurang,Solar,Rendah,Kurang,Ya,Terbatas,Kurang,Cukup,Cukup,Sempit,Cukup,Mobil Listrik
24,20230,82,Wiraswasta,Mahal,Sedang,Besar,Ya,Kurang,Listrik,Tinggi,Baik,Tidak,Beragam,Kurang,Kurang,Kurang,Luas,Sempit,Mobil Listrik
31,14998,53,Pegawai Negeri,Sedang,Cepat,Kecil,Tidak,Kurang,Bensin,Tinggi,Kurang,Tidak,Beragam,Kurang,Lengkap,Kurang,Sempit,Cukup,Sepeda
33,13597,25,Pegawai Negeri,Mahal,Lambat,Kecil,Tidak,Baik,Bensin,Sedang,Cukup,Tidak,Beragam,Lengkap,Kurang,Lengkap,Cukup,Sempit,Sepeda
64,14338,95,Pegawai Negeri,Mahal,Cepat,Sedang,Ya,Kurang,Solar,Rendah,Cukup,Tidak,Terbatas,Lengkap,Kurang,Cukup,Luas,Cukup,Sepeda Motor
29,15567,46,Pensiunan,Sedang,Sedang,Sedang,Ya,Kurang,Listrik,Rendah,Cukup,Tidak,Terbatas,Lengkap,Kurang,Cukup,Luas,Sempit,Mobil
41,7049,9,Pegawai Negeri,Sedang,Lambat,Sedang,Ya,Kurang,Bensin,Tinggi,Kurang,Ya,Terbatas,Cukup,Lengkap,Lengkap,Luas,Cukup,Mobil
47,11604,85,Pegawai Negeri,Mahal,Sedang,Kecil,Tidak,Kurang,Listrik,Rendah,Baik,Tidak,Terbatas,Lengkap,Cukup,Cukup,Luas,Luas,Mobil Listrik
33,28491,13,Wiraswasta,Mahal,Lambat,Kecil,Tidak,Baik,Solar,Rendah,Cukup,Ya,Beragam,Kurang,Cukup,Lengkap,Cukup,Luas,Mobil Listrik
69,2350,25,Wiraswasta,Mahal,Lambat,Kecil,Ya,Baik,Bensin,Tinggi,Cukup,Ya,Beragam,Cukup,Cukup,Kurang,Luas,Sempit,Mobil Listrik
21,20255,23,Pegawai Negeri,Mahal,Lambat,Besar,Tidak,Kurang,Gas,Tinggi,Kurang,Ya,Beragam,Cukup,Kurang,Kurang,Luas,Sempit,Sepeda
20,27120,26,Pensiunan,Murah,Lambat,Besar,Ya,Cukup,Solar,Rendah,Cukup,Ya,Terbatas,Kurang,Kurang,Cukup,Luas,Luas,Sepeda Motor
51,29172,49,Pelajar/Mahasiswa,Murah,Sedang,Besar,Ya,Cukup,Gas,Tinggi,Baik,Tidak,Terbatas,Lengkap,Lengkap,Cukup,Cukup,Luas,Mobil
68,20839,18,Pensiunan,Mahal,Lambat,Kecil,Ya,Baik,Solar,Sedang,Kurang,Tidak,Terbatas,Lengkap,Lengkap,Cukup,Luas,Luas,Mobil Listrik
37,29664,46,Pelajar/Mahasiswa,Sedang,Sedang,Kecil,Ya,Baik,Gas,Rendah,Kurang,Tidak,Beragam,Kurang,Cukup,Lengkap,Cukup,Sempit,Sepeda
47,4379,78,Wiraswasta,Murah,Lambat,Besar,Ya,Baik,Listrik,Sedang,Kurang,Ya,Beragam,Kurang,Cukup,Cukup,Sempit,Luas,Sepeda Motor
21,12278,62,Pegawai Negeri,Sedang,Sedang,Kecil,Ya,Cukup,Listrik,Sedang,Cukup,Ya,Beragam,Lengkap,Lengkap,Lengkap,Luas,Sempit,Mobil Listrik
30,10081,38,Pensiunan,Sedang,Lambat,Kecil,Ya,Kurang,Listrik,Tinggi,Cukup,Tidak,Beragam,Cukup,Cukup,Lengkap,Cukup,Sempit,Sepeda
28,13588,76,Pegawai Negeri,Mahal,Sedang,Besar,Tidak,Cukup,Solar,Rendah,Cukup,Ya,Terbatas,Cukup,Cukup,Kurang,Sempit,Luas,Sepeda
23,27184,55,Pegawai Negeri,Murah,Lambat,Sedang,Ya,Cukup,Gas,Tinggi,Baik,Tidak,Terbatas,Cukup,Lengkap,Kurang,Cukup,Luas,Sepeda
44,16694,90,Pegawai Negeri,Murah,Cepat,Sedang,Ya,Cukup,Solar,Sedang,Cukup,Ya,Terbatas,Cukup,Kurang,Lengkap,Luas,Sempit,Sepeda
66,27774,69,Pegawai Negeri,Sedang,Lambat,Sedang,Tidak,Baik,Listrik,Sedang,Kurang,Ya,Beragam,Lengkap,Kurang,Kurang,Sempit,Cukup,Mobil Listrik
69,10152,40,Pegawai Negeri,Murah,Lambat,Besar,Tidak,Baik,Solar,Rendah,Kurang,Tidak,Terbatas,Kurang,Lengkap,Lengkap,Luas,Cukup,Mobil Listrik
28,28624,27,Pensiunan,Murah,Cepat,Besar,Ya,Cukup,Listrik,Tinggi,Cukup,Tidak,Terbatas,Lengkap,Kurang,Lengkap,Sempit,Cukup,Mobil Listrik
20,29991,32,Pelajar/Mahasiswa,Sedang,Cepat,Sedang,Tidak,Baik,Gas,Sedang,Cukup,Tidak,Terbatas,Kurang,Lengkap,Kurang,Luas,Luas,Sepeda
62,28424,19,Tidak Bekerja,Sedang,Lambat,Sedang,Ya,Baik,Listrik,Sedang,Baik,Ya,Terbatas,Kurang,Cukup,Kurang,Sempit,Luas,Sepeda
38,15564,52,Wiraswasta,Murah,Lambat,Kecil,Tidak,Baik,Bensin,Sedang,Cukup,Ya,Beragam,Kurang,Lengkap,Lengkap,Luas,Luas,Sepeda
