Nilai Ujian,Kehadiran (%),Aktivitas Ekstrakurikuler,Preferensi Lokasi,Transportasi,Rata-rata Nilai Raport,Prestasi Akademik,Keterlibatan Orang Tua,Jarak Rumah (km),Ketersediaan Fasilitas Olahraga,Ketersediaan Fasilitas Laboratorium,Ketersediaan Fasilitas Perpustakaan,Ketersediaan Fasilitas Seni,Ketersediaan Fasilitas Komputer,Ketersediaan Fasilitas Wi-Fi,Ketersediaan Fasilitas Kesehatan,Ketersediaan Fasilitas Kafetaria,Lingkungan Sekitar,Ketersediaan Beasiswa,Sekolah Dipilih
75,85,Rendah,Jauh dari Rumah,Mobil,78,Tinggi,Sedang,3,Sedang,Sedang,Sedang,Kurang,Baik,Ada,Ada,Tidak Ada,Nyaman,Tidak,B
98,80,Sedang,Jauh dari Rumah,Mobil,69,Rendah,Sedang,8,Baik,Sedang,Kurang,Sedang,Kurang,Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
50,72,Rendah,Jauh dari Rumah,Mobil,64,Sedang,Tinggi,3,Kurang,Baik,Kurang,Baik,Baik,Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,B
67,82,Sedang,Jauh dari Rumah,Sepeda,76,Tinggi,Sedang,9,Kurang,Sedang,Kurang,Sedang,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Ya,A
77,90,Rendah,Tidak Peduli,Sepeda,92,Rendah,Tinggi,18,Sedang,Baik,Sedang,Sedang,Baik,Ada,Tidak Ada,Ada,Tenang,Tidak,B
57,70,Rendah,Jauh dari Rumah,Bus,84,Tinggi,Tinggi,15,Sedang,Sedang,Kurang,Baik,Sedang,Tidak Ada,Ada,Ada,Tidak Nyaman,Ya,B
77,73,Sedang,Dekat Rumah,Bus,85,Rendah,Rendah,7,Baik,Sedang,Kurang,Kurang,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,A
63,86,Rendah,Tidak Peduli,Bus,63,Sedang,Tinggi,5,Baik,Sedang,Sedang,Baik,Kurang,Ada,Tidak Ada,Ada,Nyaman,Tidak,A
74,97,Tinggi,Tidak Peduli,Mobil,90,Tinggi,Sedang,13,Baik,Kurang,Baik,Baik,Kurang,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,C
52,75,Sedang,Jauh dari Rumah,Mobil,77,Rendah,Rendah,14,Kurang,Sedang,Baik,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,C
79,91,Sedang,Tidak Peduli,Bus,71,Sedang,Rendah,11,Kurang,Baik,Baik,Kurang,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,A
87,85,Rendah,Dekat Rumah,Mobil,81,Sedang,Sedang,14,Sedang,Sedang,Kurang,Baik,Kurang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,C
58,75,Sedang,Jauh dari Rumah,Sepeda,82,Tinggi,Sedang,3,Baik,Sedang,Kurang,Baik,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,A
90,99,Rendah,Jauh dari Rumah,Sepeda,62,Sedang,Tinggi,16,Kurang,Baik,Kurang,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Tenang,Ya,A
68,88,Rendah,Jauh dari Rumah,Bus,70,Rendah,Sedang,17,Kurang,Sedang,Kurang,Kurang,Baik,Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,A
95,79,Tinggi,Dekat Rumah,Bus,84,Sedang,Tinggi,16,Kurang,Kurang,Kurang,Kurang,Kurang,Tidak Ada,Ada,Ada,Tidak Nyaman,Ya,A
50,91,Sedang,Tidak Peduli,Bus,62,Tinggi,Tinggi,4,Kurang,Baik,Sedang,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
61,81,Sedang,Dekat Rumah,Sepeda,92,Sedang,Rendah,12,Baik,Baik,Sedang,Baik,Sedang,Ada,Ada,Ada,Tenang,Tidak,B
69,86,Sedang,Jauh dari Rumah,Mobil,76,Rendah,Sedang,18,Baik,Kurang,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,B
77,72,Rendah,Jauh dari Rumah,Bus,94,Rendah,Tinggi,16,Sedang,Baik,Sedang,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,B
84,96,Rendah,Tidak Peduli,Sepeda,76,Rendah,Tinggi,14,Kurang,Kurang,Baik,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,A
58,82,Rendah,Jauh dari Rumah,Sepeda,83,Rendah,Sedang,18,Baik,Baik,Kurang,Sedang,Kurang,Ada,Ada,Tidak Ada,Nyaman,Tidak,B
85,99,Rendah,Dekat Rumah,Bus,81,Tinggi,Sedang,9,Kurang,Kurang,Kurang,Sedang,Sedang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,B
95,79,Sedang,Dekat Rumah,Bus,79,Sedang,Tinggi,18,Sedang,Baik,Sedang,Kurang,Baik,Tidak Ada,Ada,Tidak Ada,Ramai,Ya,C
68,88,Rendah,Tidak Peduli,Mobil,80,Tinggi,Sedang,14,Sedang,Baik,Baik,Sedang,Sedang,Tidak Ada,Tidak Ada,Ada,Tenang,Ya,C
68,73,Rendah,Jauh dari Rumah,Bus,86,Sedang,Tinggi,19,Baik,Kurang,Baik,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,C
66,74,Tinggi,Dekat Rumah,Sepeda,78,Sedang,Rendah,8,Baik,Sedang,Baik,Kurang,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,C
64,95,Tinggi,Tidak Peduli,Bus,70,Rendah,Rendah,1,Sedang,Sedang,Baik,Baik,Kurang,Ada,Ada,Tidak Ada,Nyaman,Ya,A
84,89,Rendah,Tidak Peduli,Bus,69,Sedang,Sedang,9,Baik,Kurang,Kurang,Kurang,Sedang,Tidak Ada,Ada,Ada,Ramai,Ya,C
58,83,Rendah,Tidak Peduli,Bus,66,Sedang,Tinggi,7,Kurang,Sedang,Baik,Sedang,Baik,Ada,Tidak Ada,Ada,Tenang,Tidak,C
63,82,Sedang,Jauh dari Rumah,Mobil,75,Sedang,Tinggi,14,Sedang,Sedang,Sedang,Sedang,Sedang,Tidak Ada,Ada,Ada,Tidak Nyaman,Ya,A
74,72,Rendah,Dekat Rumah,Mobil,75,Tinggi,Sedang,15,Baik,Sedang,Kurang,Kurang,Kurang,Ada,Tidak Ada,Ada,Tenang,Tidak,B
59,91,Rendah,Jauh dari Rumah,Mobil,85,Tinggi,Rendah,12,Baik,Kurang,Sedang,Sedang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,B
88,90,Rendah,Dekat Rumah,Sepeda,79,Tinggi,Sedang,5,Sedang,Baik,Kurang,Baik,Kurang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,C
80,99,Rendah,Dekat Rumah,Bus,82,Sedang,Tinggi,12,Kurang,Sedang,Baik,Kurang,Sedang,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,B
61,88,Sedang,Dekat Rumah,Mobil,72,Tinggi,Rendah,1,Baik,Baik,Sedang,Sedang,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,B
63,94,Tinggi,Dekat Rumah,Sepeda,76,Tinggi,Tinggi,8,Baik,Baik,Kurang,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,C
58,99,Rendah,Dekat Rumah,Mobil,72,Tinggi,Tinggi,17,Sedang,Baik,Baik,Sedang,Baik,Tidak Ada,Tidak Ada,Ada,Tenang,Ya,B
77,78,Tinggi,Tidak Peduli,Mobil,75,Rendah,Tinggi,19,Sedang,Baik,Sedang,Baik,Sedang,Tidak Ada,Ada,Tidak Ada,Tenang,Ya,A
87,82,Sedang,Tidak Peduli,Bus,61,Rendah,Tinggi,14,Baik,Baik,Sedang,Sedang,Kurang,Tidak Ada,Ada,Ada,Tenang,Tidak,B
80,77,Rendah,Jauh dari Rumah,Mobil,82,Rendah,Tinggi,16,Baik,Kurang,Baik,Sedang,Sedang,Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
55,75,Rendah,Jauh dari Rumah,Sepeda,85,Rendah,Tinggi,17,Sedang,Baik,Baik,Kurang,Kurang,Tidak Ada,Ada,Ada,Tidak Nyaman,Tidak,C
69,92,Rendah,Dekat Rumah,Mobil,90,Rendah,Rendah,14,Kurang,Baik,Sedang,Sedang,Kurang,Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,B
92,99,Sedang,Tidak Peduli,Bus,82,Tinggi,Sedang,8,Kurang,Sedang,Sedang,Sedang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,B
77,92,Tinggi,Jauh dari Rumah,Bus,94,Rendah,Tinggi,4,Sedang,Sedang,Kurang,Baik,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,C
59,71,Rendah,Jauh dari Rumah,Mobil,86,Rendah,Rendah,10,Sedang,Baik,Kurang,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
86,71,Tinggi,Tidak Peduli,Sepeda,82,Tinggi,Sedang,13,Sedang,Sedang,Baik,Kurang,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,A
90,74,Rendah,Tidak Peduli,Bus,73,Tinggi,Tinggi,12,Sedang,Kurang,Sedang,Kurang,Baik,Ada,Ada,Ada,Tenang,Ya,B
59,91,Rendah,Jauh dari Rumah,Sepeda,92,Rendah,Rendah,15,Baik,Sedang,Sedang,Baik,Sedang,Ada,Ada,Tidak Ada,Tenang,Tidak,C
68,99,Sedang,Dekat Rumah,Bus,73,Tinggi,Sedang,3,Sedang,Baik,Kurang,Sedang,Kurang,Ada,Tidak Ada,Ada,Nyaman,Ya,B
69,99,Tinggi,Dekat Rumah,Sepeda,66,Sedang,Sedang,14,Sedang,Sedang,Kurang,Sedang,Baik,Ada,Ada,Ada,Ramai,Tidak,C
87,87,Rendah,Dekat Rumah,Sepeda,69,Tinggi,Sedang,16,Baik,Kurang,Baik,Baik,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,C
77,82,Tinggi,Tidak Peduli,Mobil,76,Tinggi,Rendah,3,Baik,Sedang,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Tenang,Ya,A
80,98,Tinggi,Tidak Peduli,Sepeda,90,Tinggi,Tinggi,10,Sedang,Sedang,Kurang,Sedang,Kurang,Ada,Tidak Ada,Ada,Tenang,Ya,B
58,75,Sedang,Jauh dari Rumah,Bus,79,Rendah,Tinggi,3,Baik,Baik,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,B
52,99,Rendah,Dekat Rumah,Bus,65,Tinggi,Sedang,17,Kurang,Baik,Baik,Sedang,Sedang,Ada,Ada,Ada,Ramai,Ya,A
71,71,Rendah,Tidak Peduli,Sepeda,60,Sedang,Tinggi,7,Baik,Kurang,Kurang,Kurang,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,A
98,96,Tinggi,Jauh dari Rumah,Sepeda,84,Rendah,Rendah,16,Baik,Baik,Sedang,Kurang,Sedang,Ada,Ada,Ada,Nyaman,Tidak,B
54,84,Rendah,Jauh dari Rumah,Sepeda,90,Tinggi,Sedang,11,Kurang,Baik,Kurang,Sedang,Baik,Ada,Ada,Ada,Tenang,Tidak,A
93,76,Rendah,Dekat Rumah,Mobil,92,Tinggi,Sedang,12,Sedang,Baik,Kurang,Sedang,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,B
86,85,Tinggi,Dekat Rumah,Sepeda,80,Sedang,Rendah,8,Sedang,Sedang,Baik,Kurang,Kurang,Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,B
81,95,Tinggi,Dekat Rumah,Bus,83,Sedang,Sedang,2,Baik,Sedang,Baik,Baik,Sedang,Ada,Tidak Ada,Tidak Ada,Ramai,Ya,C
82,82,Tinggi,Jauh dari Rumah,Mobil,90,Rendah,Sedang,12,Sedang,Baik,Baik,Kurang,Sedang,Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,B
80,82,Tinggi,Jauh dari Rumah,Mobil,60,Tinggi,Rendah,17,Sedang,Baik,Baik,Sedang,Sedang,Ada,Ada,Ada,Nyaman,Tidak,B
88,93,Rendah,Dekat Rumah,Sepeda,83,Sedang,Sedang,3,Baik,Kurang,Sedang,Baik,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Ya,B
88,70,Rendah,Jauh dari Rumah,Sepeda,91,Rendah,Sedang,10,Sedang,Kurang,Baik,Baik,Sedang,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,B
72,87,Sedang,Dekat Rumah,Mobil,86,Rendah,Sedang,8,Kurang,Kurang,Baik,Sedang,Baik,Tidak Ada,Ada,Ada,Tenang,Ya,B
90,90,Rendah,Jauh dari Rumah,Bus,86,Rendah,Sedang,4,Baik,Kurang,Baik,Sedang,Baik,Tidak Ada,Ada,Ada,Ramai,Tidak,B
58,86,Tinggi,Tidak Peduli,Mobil,68,Sedang,Tinggi,5,Baik,Baik,Sedang,Kurang,Sedang,Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,B
50,82,Rendah,Jauh dari Rumah,Sepeda,86,Sedang,Rendah,16,Kurang,Sedang,Sedang,Baik,Sedang,Ada,Tidak Ada,Ada,Ramai,Ya,C
95,88,Sedang,Tidak Peduli,Mobil,93,Rendah,Rendah,10,Baik,Kurang,Kurang,Sedang,Kurang,Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
87,98,Tinggi,Dekat Rumah,Sepeda,85,Rendah,Sedang,14,Baik,Baik,Sedang,Kurang,Kurang,Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,A
81,85,Tinggi,Jauh dari Rumah,Mobil,63,Tinggi,Rendah,15,Kurang,Baik,Sedang,Baik,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,A
96,79,Rendah,Dekat Rumah,Mobil,61,Tinggi,Rendah,13,Kurang,Sedang,Kurang,Baik,Baik,Tidak Ada,Tidak Ada,Ada,Tenang,Ya,C
67,96,Rendah,Tidak Peduli,Bus,75,Rendah,Sedang,6,Baik,Sedang,Sedang,Kurang,Baik,Ada,Ada,Ada,Tenang,Ya,C
51,86,Sedang,Jauh dari Rumah,Sepeda,76,Sedang,Tinggi,5,Baik,Sedang,Baik,Sedang,Kurang,Tidak Ada,Ada,Tidak Ada,Nyaman,Ya,A
89,80,Rendah,Tidak Peduli,Bus,67,Rendah,Tinggi,2,Kurang,Sedang,Baik,Kurang,Kurang,Ada,Tidak Ada,Ada,Tenang,Ya,B
55,86,Sedang,Tidak Peduli,Bus,91,Rendah,Sedang,17,Baik,Baik,Sedang,Kurang,Sedang,Tidak Ada,Tidak Ada,Ada,Tenang,Tidak,B
72,71,Tinggi,Tidak Peduli,Bus,65,Tinggi,Tinggi,1,Baik,Kurang,Sedang,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Ramai,Ya,A
94,92,Rendah,Dekat Rumah,Sepeda,76,Sedang,Rendah,15,Sedang,Baik,Sedang,Kurang,Baik,Ada,Tidak Ada,Tidak Ada,Nyaman,Ya,B
75,85,Sedang,Dekat Rumah,Mobil,90,Rendah,Rendah,1,Baik,Kurang,Kurang,Baik,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,C
72,91,Rendah,Tidak Peduli,Bus,67,Tinggi,Sedang,14,Baik,Sedang,Sedang,Kurang,Sedang,Ada,Ada,Ada,Ramai,Ya,C
70,96,Tinggi,Dekat Rumah,Sepeda,94,Tinggi,Rendah,8,Sedang,Sedang,Baik,Kurang,Kurang,Ada,Ada,Tidak Ada,Ramai,Ya,B
75,75,Tinggi,Jauh dari Rumah,Mobil,81,Sedang,Tinggi,15,Baik,Sedang,Kurang,Kurang,Kurang,Tidak Ada,Ada,Tidak Ada,Ramai,Ya,A
66,84,Sedang,Jauh dari Rumah,Bus,67,Rendah,Rendah,12,Sedang,Sedang,Baik,Baik,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,B
61,92,Sedang,Tidak Peduli,Sepeda,85,Rendah,Rendah,17,Baik,Sedang,Kurang,Sedang,Baik,Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,A
56,95,Sedang,Dekat Rumah,Sepeda,90,Tinggi,Sedang,10,Kurang,Kurang,Baik,Sedang,Kurang,Ada,Ada,Tidak Ada,Nyaman,Ya,C
62,80,Rendah,Dekat Rumah,Mobil,73,Tinggi,Tinggi,16,Sedang,Sedang,Baik,Sedang,Kurang,Ada,Ada,Ada,Tidak Nyaman,Tidak,C
80,74,Tinggi,Tidak Peduli,Sepeda,62,Rendah,Rendah,12,Baik,Kurang,Kurang,Baik,Sedang,Tidak Ada,Tidak Ada,Ada,Ramai,Tidak,C
67,73,Tinggi,Dekat Rumah,Bus,79,Rendah,Rendah,4,Kurang,Kurang,Kurang,Baik,Kurang,Ada,Ada,Ada,Ramai,Ya,A
71,78,Tinggi,Jauh dari Rumah,Sepeda,94,Sedang,Sedang,18,Sedang,Baik,Kurang,Sedang,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Tidak,B
51,88,Tinggi,Tidak Peduli,Sepeda,86,Tinggi,Sedang,14,Baik,Sedang,Kurang,Sedang,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,C
93,88,Sedang,Jauh dari Rumah,Sepeda,84,Tinggi,Tinggi,1,Sedang,Sedang,Baik,Baik,Baik,Ada,Ada,Ada,Tenang,Ya,C
56,77,Sedang,Tidak Peduli,Sepeda,69,Tinggi,Rendah,12,Baik,Kurang,Baik,Baik,Kurang,Tidak Ada,Tidak Ada,Ada,Nyaman,Ya,B
68,70,Sedang,Jauh dari Rumah,Sepeda,83,Rendah,Sedang,15,Sedang,Sedang,Baik,Sedang,Baik,Ada,Tidak Ada,Ada,Ramai,Tidak,C
69,85,Tinggi,Tidak Peduli,Mobil,68,Sedang,Sedang,6,Sedang,Kurang,Sedang,Sedang,Sedang,Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,B
59,71,Tinggi,Tidak Peduli,Mobil,88,Rendah,Tinggi,4,Kurang,Sedang,Baik,Kurang,Baik,Tidak Ada,Ada,Ada,Ramai,Tidak,A
59,78,Rendah,Jauh dari Rumah,Mobil,94,Tinggi,Sedang,10,Kurang,Baik,Kurang,Kurang,Kurang,Tidak Ada,Ada,Ada,Ramai,Ya,B
94,86,Sedang,Jauh dari Rumah,Sepeda,80,Rendah,Rendah,8,Kurang,Sedang,Baik,Kurang,Kurang,Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,A
50,78,Sedang,Jauh dari Rumah,Bus,76,Tinggi,Tinggi,11,Sedang,Baik,Kurang,Sedang,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,A
81,75,Tinggi,Tidak Peduli,Bus,66,Sedang,Sedang,14,Kurang,Baik,Baik,Kurang,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,B
75,87,Tinggi,Tidak Peduli,Mobil,68,Sedang,Rendah,10,Kurang,Sedang,Baik,Kurang,Baik,Ada,Ada,Tidak Ada,Tenang,Ya,C
66,99,Tinggi,Tidak Peduli,Mobil,73,Rendah,Rendah,14,Kurang,Kurang,Kurang,Kurang,Baik,Ada,Ada,Tidak Ada,Nyaman,Ya,B
67,93,Tinggi,Dekat Rumah,Bus,76,Sedang,Sedang,2,Sedang,Sedang,Kurang,Kurang,Kurang,Ada,Tidak Ada,Tidak Ada,Tenang,Ya,A
60,78,Tinggi,Jauh dari Rumah,Mobil,76,Tinggi,Tinggi,14,Kurang,Sedang,Kurang,Baik,Baik,Tidak Ada,Ada,Ada,Tidak Nyaman,Ya,B
53,81,Rendah,Tidak Peduli,Mobil,76,Tinggi,Sedang,15,Sedang,Kurang,Sedang,Sedang,Sedang,Ada,Ada,Ada,Ramai,Ya,A
80,96,Sedang,Dekat Rumah,Bus,70,Rendah,Tinggi,11,Sedang,Baik,Baik,Sedang,Kurang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Ya,A
54,89,Rendah,Jauh dari Rumah,Sepeda,83,Sedang,Tinggi,11,Kurang,Sedang,Kurang,Baik,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Tidak,A
97,80,Rendah,Tidak Peduli,Bus,87,Sedang,Sedang,9,Kurang,Kurang,Sedang,Sedang,Baik,Ada,Ada,Ada,Ramai,Ya,C
64,98,Tinggi,Jauh dari Rumah,Mobil,79,Rendah,Rendah,7,Kurang,Sedang,Baik,Baik,Kurang,Ada,Tidak Ada,Ada,Ramai,Tidak,A
57,79,Rendah,Dekat Rumah,Bus,93,Sedang,Rendah,10,Baik,Baik,Sedang,Sedang,Kurang,Ada,Ada,Tidak Ada,Ramai,Ya,C
76,85,Sedang,Jauh dari Rumah,Bus,78,Rendah,Sedang,6,Sedang,Kurang,Kurang,Baik,Sedang,Ada,Tidak Ada,Ada,Tidak Nyaman,Ya,A
78,79,Sedang,Jauh dari Rumah,Bus,85,Rendah,Rendah,19,Sedang,Sedang,Baik,Sedang,Sedang,Tidak Ada,Ada,Ada,Nyaman,Ya,C
94,95,Sedang,Jauh dari Rumah,Mobil,88,Rendah,Rendah,18,Baik,Sedang,Kurang,Sedang,Baik,Ada,Ada,Tidak Ada,Nyaman,Tidak,C
59,75,Sedang,Dekat Rumah,Mobil,90,Tinggi,Sedang,5,Sedang,Baik,Baik,Sedang,Sedang,Tidak Ada,Ada,Tidak Ada,Tenang,Ya,A
79,83,Rendah,Jauh dari Rumah,Sepeda,75,Sedang,Rendah,17,Baik,Sedang,Sedang,Sedang,Sedang,Ada,Ada,Ada,Ramai,Ya,C
98,91,Rendah,Tidak Peduli,Mobil,69,Sedang,Rendah,17,Kurang,Sedang,Baik,Baik,Sedang,Tidak Ada,Ada,Tidak Ada,Nyaman,Tidak,A
52,97,Sedang,Dekat Rumah,Mobil,73,Rendah,Tinggi,17,Baik,Baik,Sedang,Sedang,Sedang,Tidak Ada,Tidak Ada,Ada,Ramai,Ya,B
98,71,Tinggi,Tidak Peduli,Mobil,77,Sedang,Tinggi,5,Kurang,Kurang,Baik,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,A
56,86,Sedang,Tidak Peduli,Sepeda,85,Sedang,Sedang,6,Kurang,Kurang,Kurang,Baik,Baik,Ada,Tidak Ada,Ada,Ramai,Ya,C
65,97,Sedang,Jauh dari Rumah,Bus,68,Rendah,Tinggi,13,Baik,Baik,Kurang,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Tenang,Ya,A
85,90,Rendah,Tidak Peduli,Sepeda,76,Sedang,Tinggi,5,Kurang,Baik,Kurang,Baik,Baik,Tidak Ada,Tidak Ada,Tidak Ada,Ramai,Tidak,C
52,79,Tinggi,Jauh dari Rumah,Mobil,72,Rendah,Tinggi,9,Baik,Baik,Baik,Kurang,Kurang,Tidak Ada,Tidak Ada,Ada,Ramai,Tidak,A
74,91,Rendah,Jauh dari Rumah,Bus,83,Rendah,Rendah,13,Kurang,Sedang,Baik,Baik,Kurang,Ada,Tidak Ada,Tidak Ada,Nyaman,Tidak,C
94,85,Rendah,Jauh dari Rumah,Bus,92,Tinggi,Rendah,9,Kurang,Kurang,Baik,Baik,Baik,Tidak Ada,Ada,Ada,Tenang,Ya,A
96,77,Sedang,Tidak Peduli,Mobil,81,Tinggi,Sedang,2,Baik,Kurang,Sedang,Kurang,Kurang,Tidak Ada,Ada,Ada,Tenang,Ya,C
74,93,Sedang,Dekat Rumah,Mobil,86,Sedang,Tinggi,15,Kurang,Baik,Kurang,Baik,Baik,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,B
70,76,Sedang,Tidak Peduli,Bus,65,Rendah,Rendah,4,Kurang,Baik,Baik,Sedang,Kurang,Ada,Ada,Tidak Ada,Nyaman,Tidak,B
53,95,Sedang,Dekat Rumah,Sepeda,62,Tinggi,Tinggi,2,Kurang,Sedang,Baik,Kurang,Sedang,Tidak Ada,Ada,Tidak Ada,Nyaman,Tidak,A
90,99,Rendah,Jauh dari Rumah,Mobil,92,Rendah,Rendah,10,Baik,Baik,Sedang,Sedang,Sedang,Ada,Ada,Ada,Nyaman,Tidak,C
94,92,Tinggi,Dekat Rumah,Bus,79,Sedang,Tinggi,13,Kurang,Kurang,Baik,Kurang,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,C
57,87,Sedang,Dekat Rumah,Sepeda,73,Tinggi,Rendah,14,Sedang,Sedang,Baik,Baik,Sedang,Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
66,96,Sedang,Dekat Rumah,Bus,62,Rendah,Sedang,12,Kurang,Baik,Kurang,Sedang,Kurang,Ada,Tidak Ada,Tidak Ada,Ramai,Ya,B
81,88,Tinggi,Dekat Rumah,Bus,70,Rendah,Tinggi,16,Sedang,Sedang,Baik,Kurang,Kurang,Tidak Ada,Ada,Tidak Ada,Nyaman,Ya,A
55,73,Tinggi,Jauh dari Rumah,Sepeda,60,Tinggi,Sedang,9,Kurang,Sedang,Kurang,Kurang,Kurang,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,A
96,99,Sedang,Dekat Rumah,Mobil,82,Sedang,Sedang,18,Kurang,Sedang,Baik,Baik,Kurang,Ada,Tidak Ada,Tidak Ada,Tidak Nyaman,Ya,A
54,79,Rendah,Dekat Rumah,Mobil,63,Sedang,Rendah,14,Baik,Baik,Sedang,Baik,Sedang,Tidak Ada,Tidak Ada,Tidak Ada,Tenang,Ya,C
58,83,Tinggi,Dekat Rumah,Bus,75,Tinggi,Tinggi,4,Baik,Baik,Kurang,Kurang,Sedang,Ada,Ada,Tidak Ada,Nyaman,Tidak,B
90,81,Sedang,Jauh dari Rumah,Bus,76,Rendah,Rendah,10,Kurang,Kurang,Sedang,Kurang,Baik,Ada,Ada,Ada,Nyaman,Ya,A
95,96,Sedang,Tidak Peduli,Mobil,65,Sedang,Tinggi,4,Kurang,Kurang,Sedang,Kurang,Kurang,Tidak Ada,Ada,Ada,Nyaman,Ya,A
78,99,Tinggi,Jauh dari Rumah,Mobil,75,Tinggi,Tinggi,18,Sedang,Baik,Sedang,Sedang,Kurang,Tidak Ada,Ada,Ada,Tidak Nyaman,Tidak,A
75,76,Sedang,Tidak Peduli,Mobil,77,Rendah,Rendah,5,Baik,Kurang,Baik,Kurang,Sedang,Tidak Ada,Tidak Ada,Ada,Nyaman,Tidak,A
89,81,Rendah,Tidak Peduli,Mobil,67,Tinggi,Sedang,16,Kurang,Kurang,Sedang,Kurang,Baik,Tidak Ada,Ada,Tidak Ada,Ramai,Tidak,A
96,77,Sedang,Dekat Rumah,Mobil,94,Rendah,Rendah,13,Sedang,Baik,Baik,Baik,Baik,Ada,Tidak Ada,Ada,Tidak Nyaman,Tidak,C
82,77,Rendah,Jauh dari Rumah,Mobil,88,Rendah,Tinggi,15,Sedang,Sedang,Baik,Kurang,Kurang,Tidak Ada,Ada,Tidak Ada,Tidak Nyaman,Tidak,C
76,86,Rendah,Tidak Peduli,Bus,81,Rendah,Rendah,9,Kurang,Baik,Baik,Kurang,Baik,Ada,Tidak Ada,Ada,Tenang,Tidak,C
95,98,Sedang,Tidak Peduli,Sepeda,86,Tinggi,Rendah,1,Baik,Kurang,Sedang,Baik,Sedang,Tidak Ada,Tidak Ada,Ada,Nyaman,Tidak,A
